"Control ID","Requirement","Result","Criticality","Details","OmittedEvaluationResult","OmittedEvaluationDetails","IncorrectResult","IncorrectResultDetails","OriginalResult","OriginalDetails","Comments","ResolutionDate","Non-Compliance Reason","Remediation Completion Date","Justification"
"MS.AAD.1.1v1","Legacy authentication SHALL be blocked.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Fail","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",," "," "," "
"MS.AAD.2.1v1","Users detected as high risk SHALL be blocked.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.2.3v1","Sign-ins detected as high risk SHALL be blocked.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.3.1v1","Phishing-resistant MFA SHALL be enforced for all users.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Fail","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",," "," "," "
"MS.AAD.3.2v1","If phishing-resistant MFA has not been enforced, an alternative MFA method SHALL be enforced for all users.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Fail","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",," "," "," "
"MS.AAD.3.4v1","The Authentication Methods Manage Migration feature SHALL be set to Migration Complete.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A","Fail","Requirement not met","System.Object[]",," "," "," "
"MS.AAD.3.6v1","Phishing-resistant MFA SHALL be required for highly privileged roles.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Fail","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",," "," "," "
"MS.AAD.5.1v1","Only administrators SHALL be allowed to register applications.","Fail","Shall","1 authorization policies found that allow non-admin users to register third-party applications: authorizationPolicy","N/A","N/A","N/A","N/A","Fail","1 authorization policies found that allow non-admin users to register third-party applications:<br/>authorizationPolicy","System.Object[]",," "," "," "
"MS.AAD.5.3v1","An admin consent workflow SHALL be configured for applications.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A","Fail","Requirement not met","System.Object[]",," "," "," "
"MS.AAD.6.1v1","User passwords SHALL NOT expire.","Fail","Shall","2 domain(s) failed: tilabras.com.br, tilabras.onmicrosoft.com","N/A","N/A","N/A","N/A","Fail","2 domain(s) failed:<br/>tilabras.com.br, tilabras.onmicrosoft.com","System.Object[]",," "," "," "
"MS.AAD.7.2v1","Privileged users SHALL be provisioned with finer-grained roles instead of Global Administrator.","Fail","Shall","Requirement not met: Least Privilege Score = 6 (should be 1 or less)","N/A","N/A","N/A","N/A","Fail","Requirement not met: Least Privilege Score = 6 (should be 1 or less)","System.Object[]",," "," "," "
"MS.AAD.7.4v1","Permanent active role assignments SHALL NOT be allowed for highly privileged roles.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.7.5v1","Provisioning users to highly privileged roles SHALL NOT occur outside of a PAM system.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.7.6v1","Activation of the Global Administrator role SHALL require approval.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.7.7v1","Eligible and active highly privileged role assignments SHALL trigger an alert.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.7.8v1","User activation of the Global Administrator role SHALL trigger an alert.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
